LONGITUDINAL ENERGY DISTRIBUTION [GEV] IN VERT. STEPS OF   20. G/CM**2 ----------------------------------------
  DEPTH      GAMMAS    POSITRONS    ELECTRONS          MU+          MU-      HADRONS      CHARGED       NUCLEI          SUM
    20.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.10865E+04  5.10865E+04  0.00000E+00  5.10865E+04
    40.  3.77439E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55060E+04  4.55060E+04  0.00000E+00  4.92804E+04
    60.  3.24560E+03  9.55807E+02  0.00000E+00  0.00000E+00  0.00000E+00  4.31960E+04  4.41518E+04  0.00000E+00  4.73974E+04
    80.  2.42567E+03  7.54709E+02  0.00000E+00  0.00000E+00  0.00000E+00  4.14265E+04  4.21812E+04  0.00000E+00  4.46069E+04
   100.  9.33613E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.74045E+04  2.44382E+04  0.00000E+00  3.67406E+04
   120.  4.14161E+03  7.37951E+02  4.36741E+03  0.00000E+00  0.00000E+00  2.06244E+04  2.27634E+04  0.00000E+00  2.98714E+04
   140.  7.16582E+02  1.12696E+03  3.85576E+03  0.00000E+00  0.00000E+00  1.63040E+04  1.88213E+04  0.00000E+00  2.20033E+04
   160.  5.17726E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  9.30196E+03  8.52265E+03  0.00000E+00  1.44792E+04
   180.  7.70052E+02  9.24807E+02  2.56214E+03  0.00000E+00  0.00000E+00  8.34426E+03  1.10519E+04  0.00000E+00  1.26013E+04
   200.  7.70052E+02  7.70033E+02  1.26734E+03  0.00000E+00  0.00000E+00  6.25298E+03  7.51105E+03  0.00000E+00  9.06041E+03
   220.  7.70052E+02  0.00000E+00  1.26317E+03  0.00000E+00  0.00000E+00  6.25282E+03  6.73668E+03  0.00000E+00  8.28604E+03
   240.  1.80087E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.46524E+03  5.46524E+03  0.00000E+00  7.26611E+03
   260.  1.03082E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.46508E+03  5.46508E+03  0.00000E+00  6.49589E+03
   280.  0.00000E+00  9.17067E+02  0.00000E+00  0.00000E+00  0.00000E+00  5.46492E+03  6.38198E+03  0.00000E+00  6.38198E+03
   300.  0.00000E+00  7.06838E+02  0.00000E+00  0.00000E+00  0.00000E+00  5.46475E+03  6.17159E+03  0.00000E+00  6.17159E+03
   320.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55517E+03  4.55517E+03  0.00000E+00  4.55517E+03
   340.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55508E+03  4.55508E+03  0.00000E+00  4.55508E+03
   360.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55500E+03  4.55500E+03  0.00000E+00  4.55500E+03
   380.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55491E+03  4.55491E+03  0.00000E+00  4.55491E+03
   400.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55483E+03  4.55483E+03  0.00000E+00  4.55483E+03
   420.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55474E+03  4.55474E+03  0.00000E+00  4.55474E+03
   440.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55466E+03  4.55466E+03  0.00000E+00  4.55466E+03
   460.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.55457E+03  4.55457E+03  0.00000E+00  4.55457E+03
   480.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   500.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   520.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   540.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   560.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   580.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   600.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   620.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   640.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   660.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   680.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   700.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   720.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   740.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   760.  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
